Date,AAPL,NVDA,TSLA
2023-03-20,155.15,25.88,183.25
2023-03-21,157.01,26.18,197.58
2023-03-22,155.58,26.45,191.15
2023-03-23,156.66,27.17,192.22
2023-03-24,157.96,26.76,190.41
2023-03-27,156.02,26.51,191.81
2023-03-28,155.4,26.39,189.19
2023-03-29,158.47,26.96,193.88
2023-03-30,160.04,27.36,195.28
2023-03-31,162.55,27.75,207.46
2023-04-03,163.8,27.94,194.77
2023-04-04,163.26,27.43,192.58
2023-04-05,161.42,26.86,185.52
2023-04-06,162.31,27.01,185.06
2023-04-10,159.72,27.56,184.51
2023-04-11,158.5,27.15,186.79
2023-04-12,157.81,26.47,180.54
2023-04-13,163.2,26.44,185.9
2023-04-14,162.85,26.74,185.0
2023-04-17,162.87,26.98,187.04
2023-04-18,164.09,27.64,184.31
2023-04-19,165.24,27.91,180.59
2023-04-20,164.27,27.08,162.99
2023-04-21,162.66,27.1,165.08
2023-04-24,162.97,27.02,162.55
2023-04-25,161.43,26.22,160.67
2023-04-26,161.42,26.93,153.75
2023-04-27,166.01,27.2,160.19
2023-04-28,167.26,27.73,164.31
2023-05-01,167.17,28.89,161.83
2023-05-02,166.13,28.19,160.31
2023-05-03,165.06,27.78,160.61
2023-05-04,163.42,27.54,161.2
2023-05-05,171.09,28.66,170.06
2023-05-08,171.02,29.13,171.79
2023-05-09,169.32,28.55,169.15
2023-05-10,171.08,28.86,168.54
2023-05-11,171.27,28.55,172.08
2023-05-12,170.34,28.32,167.98
2023-05-15,169.85,28.93,166.35
2023-05-16,169.85,29.19,166.52
2023-05-17,170.46,30.15,173.86
2023-05-18,172.79,31.65,176.89
2023-05-19,172.9,31.24,180.14
2023-05-22,171.95,31.15,188.87
2023-05-23,169.34,30.66,185.77
2023-05-24,169.62,30.51,182.9
2023-05-25,170.76,37.95,184.47
2023-05-26,173.16,38.91,193.17
2023-05-30,175.01,40.08,201.16
2023-05-31,174.96,37.8,203.93
2023-06-01,177.76,39.74,207.52
2023-06-02,178.61,39.29,213.97
2023-06-05,177.26,39.14,217.61
2023-06-06,176.9,38.62,221.31
2023-06-07,175.52,37.45,224.57
2023-06-08,178.24,38.48,234.86
2023-06-09,178.62,38.74,244.4
2023-06-12,181.42,39.45,249.83
2023-06-13,180.94,40.99,258.71
2023-06-14,181.57,42.97,256.79
2023-06-15,183.61,42.62,255.9
2023-06-16,182.53,42.66,260.54
2023-06-20,182.62,43.78,274.45
2023-06-21,181.58,43.01,259.46
2023-06-22,184.58,42.99,264.61
2023-06-23,184.27,42.18,256.6
2023-06-26,182.88,40.6,241.05
2023-06-27,185.63,41.85,250.21
2023-06-28,186.81,41.09,256.24
2023-06-29,187.14,40.79,257.5
2023-06-30,191.46,42.27,261.77
2023-07-03,189.97,42.38,279.82
2023-07-05,188.86,42.29,282.48
2023-07-06,189.33,42.07,276.54
2023-07-07,188.22,42.47,274.43
2023-07-10,186.17,42.15,269.61
2023-07-11,185.65,42.37,269.79
2023-07-12,187.32,43.87,271.99
2023-07-13,188.08,45.94,277.9
2023-07-14,188.23,45.44,281.38
2023-07-17,191.48,46.43,290.38
2023-07-18,191.23,47.46,293.34
2023-07-19,192.58,47.04,291.26
2023-07-20,190.64,45.49,262.9
2023-07-21,189.46,44.28,260.02
2023-07-24,190.26,44.58,269.06
2023-07-25,191.12,45.65,265.28
2023-07-26,191.99,45.42,264.35
2023-07-27,190.72,45.87,255.71
2023-07-28,193.3,46.72,266.44
2023-07-31,193.91,46.7,267.43
2023-08-01,193.08,46.47,261.07
2023-08-02,190.09,44.24,254.11
2023-08-03,188.7,44.48,259.32
2023-08-04,179.64,44.65,253.86
2023-08-07,176.54,45.38,251.45
2023-08-08,177.48,44.63,249.7
2023-08-09,175.89,42.52,242.19
2023-08-10,175.67,42.36,245.34
2023-08-11,175.73,40.83,242.65
2023-08-14,177.38,43.72,239.76
2023-08-15,175.39,43.91,232.96
2023-08-16,174.52,43.45,225.6
2023-08-17,171.98,43.31,219.22
2023-08-18,172.47,43.27,215.49
2023-08-21,173.8,46.93,231.28
2023-08-22,175.18,45.63,233.19
2023-08-23,179.02,47.08,236.86
2023-08-24,174.34,47.13,230.04
2023-08-25,176.54,45.98,238.59
2023-08-28,178.1,46.8,238.82
2023-08-29,181.99,48.75,257.18
2023-08-30,185.48,49.23,256.9
2023-08-31,185.69,49.32,258.08
2023-09-01,187.27,48.47,245.01
2023-09-05,187.5,48.51,256.49
2023-09-06,180.79,47.03,251.92
2023-09-07,175.5,46.21,251.49
2023-09-08,176.12,45.54,248.5
2023-09-11,177.28,45.15,273.58
2023-09-12,174.26,44.84,267.48
2023-09-13,172.19,45.46,271.3
2023-09-14,173.7,45.55,276.04
2023-09-15,172.98,43.87,274.39
2023-09-18,175.91,43.94,265.28
2023-09-19,177.0,43.49,266.5
2023-09-20,173.46,42.21,262.59
2023-09-21,171.92,40.99,255.7
2023-09-22,172.77,41.58,244.88
2023-09-25,174.04,42.19,246.99
